Sat 02/16/2019 17:44:37.25 Initial tracert (trace route) to www.google.com 

Tracing route to www.google.com [216.58.192.4]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2     4 ms     3 ms    <1 ms  10.1.27.1 
  3    33 ms     2 ms     1 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     2 ms     2 ms     2 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5     5 ms     4 ms     4 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    20 ms    20 ms    21 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    22 ms    22 ms    22 ms  108.170.242.241 
  8    52 ms    48 ms    50 ms  108.170.237.147 
  9    38 ms    24 ms    23 ms  nuq04s29-in-f4.1e100.net [216.58.192.4] 

Trace complete.
Sat 02/16/2019 17:47:25.28 Pinging www.google.com 
Sat 02/16/2019 17:47:26.33 Pinging www.google.com 
Sat 02/16/2019 17:47:27.39 Pinging www.google.com 
Sat 02/16/2019 17:47:28.44 Pinging www.google.com 
Sat 02/16/2019 17:47:29.49 Pinging www.google.com 
Sat 02/16/2019 17:47:30.54 Pinging www.google.com 
Sat 02/16/2019 17:47:31.59 Pinging www.google.com 
Sat 02/16/2019 17:47:32.64 Pinging www.google.com 
Sat 02/16/2019 17:47:33.69 Pinging www.google.com 
Sat 02/16/2019 17:47:34.73 Pinging www.google.com 
Sat 02/16/2019 17:47:35.77 Pinging www.google.com 
Sat 02/16/2019 17:47:36.86 Pinging www.google.com 
Sat 02/16/2019 17:47:37.92 Pinging www.google.com 
Sat 02/16/2019 17:47:39.01 Pinging www.google.com 
Sat 02/16/2019 17:47:40.05 Pinging www.google.com 
Sat 02/16/2019 17:47:41.12 Pinging www.google.com 
Sat 02/16/2019 17:47:42.18 Pinging www.google.com 
Sat 02/16/2019 17:47:43.22 Pinging www.google.com 
Sat 02/16/2019 17:47:44.27 Pinging www.google.com 
Sat 02/16/2019 17:47:45.31 Pinging www.google.com 
Sat 02/16/2019 17:47:46.36 Pinging www.google.com 
Sat 02/16/2019 17:47:47.40 Pinging www.google.com 
Sat 02/16/2019 17:47:48.44 Pinging www.google.com 
Sat 02/16/2019 17:47:49.49 Pinging www.google.com 
Sat 02/16/2019 17:47:50.54 Pinging www.google.com 
Sat 02/16/2019 17:47:51.58 Pinging www.google.com 
Sat 02/16/2019 17:47:52.63 Pinging www.google.com 
Sat 02/16/2019 17:47:53.67 Pinging www.google.com 
Sat 02/16/2019 17:47:54.74 Pinging www.google.com 
Sat 02/16/2019 17:47:55.78 Pinging www.google.com 
Sat 02/16/2019 17:47:56.86 Pinging www.google.com 
Sat 02/16/2019 17:47:57.91 Pinging www.google.com 
Sat 02/16/2019 17:47:59.01 Pinging www.google.com 
Sat 02/16/2019 17:48:00.05 Pinging www.google.com 
Sat 02/16/2019 17:48:01.14 Pinging www.google.com 
Sat 02/16/2019 17:48:02.18 Pinging www.google.com 
Sat 02/16/2019 17:48:03.22 Pinging www.google.com 
Sat 02/16/2019 17:48:04.26 Pinging www.google.com 
Sat 02/16/2019 17:48:05.31 Pinging www.google.com 
Sat 02/16/2019 17:48:06.36 Pinging www.google.com 
Sat 02/16/2019 17:48:07.41 Pinging www.google.com 
Sat 02/16/2019 17:48:08.45 Pinging www.google.com 
Sat 02/16/2019 17:48:09.50 Pinging www.google.com 
Sat 02/16/2019 17:48:10.56 Pinging www.google.com 
Sat 02/16/2019 17:48:11.60 Pinging www.google.com 
