Sat 02/16/2019 18:55:59.63 Initial tracert (trace route) to www.google.com  

Tracing route to www.google.com [216.58.194.196]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
Sat 02/16/2019 18:59:15.90 Pinging www.google.com  
Sat 02/16/2019 18:59:16.95 Pinging www.google.com  
Sat 02/16/2019 18:59:17.99 Pinging www.google.com  
Sat 02/16/2019 18:59:19.03 Pinging www.google.com  
Sat 02/16/2019 18:59:20.08 Pinging www.google.com  
Sat 02/16/2019 18:59:21.12 Pinging www.google.com  
Sat 02/16/2019 18:59:22.16 Pinging www.google.com  
Sat 02/16/2019 18:59:23.21 Pinging www.google.com  
Sat 02/16/2019 18:59:24.26 Pinging www.google.com  
Sat 02/16/2019 18:59:25.31 Pinging www.google.com  
Sat 02/16/2019 18:59:26.35 Pinging www.google.com  
Sat 02/16/2019 18:59:27.44 Pinging www.google.com  
Sat 02/16/2019 18:59:28.48 Pinging www.google.com  
Sat 02/16/2019 18:59:29.58 Pinging www.google.com  
Sat 02/16/2019 18:59:30.62 Pinging www.google.com  
Sat 02/16/2019 18:59:31.69 Pinging www.google.com  
Sat 02/16/2019 18:59:32.77 Pinging www.google.com  
Sat 02/16/2019 18:59:33.86 Pinging www.google.com  
Sat 02/16/2019 18:59:34.91 Pinging www.google.com  
Sat 02/16/2019 18:59:36.00 Pinging www.google.com  
Sat 02/16/2019 18:59:37.05 Pinging www.google.com  
Sat 02/16/2019 18:59:38.12 Pinging www.google.com  
Sat 02/16/2019 18:59:39.17 Pinging www.google.com  
Sat 02/16/2019 18:59:40.21 Pinging www.google.com  
Sat 02/16/2019 18:59:41.26 Pinging www.google.com  
Sat 02/16/2019 18:59:42.30 Pinging www.google.com  
Sat 02/16/2019 18:59:43.35 Pinging www.google.com  
Sat 02/16/2019 18:59:44.40 Pinging www.google.com  
Sat 02/16/2019 18:59:45.45 Pinging www.google.com  
Sat 02/16/2019 18:59:46.49 Pinging www.google.com  
Sat 02/16/2019 18:59:47.54 Pinging www.google.com  
Sat 02/16/2019 18:59:48.58 Pinging www.google.com  
Sat 02/16/2019 18:59:49.67 Pinging www.google.com  
Sat 02/16/2019 18:59:50.71 Pinging www.google.com  
Sat 02/16/2019 18:59:51.80 Pinging www.google.com  
Sat 02/16/2019 18:59:52.84 Pinging www.google.com  
Sat 02/16/2019 18:59:53.92 Pinging www.google.com  
Sat 02/16/2019 18:59:54.96 Pinging www.google.com  
Sat 02/16/2019 18:59:56.01 Pinging www.google.com  
Sat 02/16/2019 18:59:57.07 Pinging www.google.com  
Sat 02/16/2019 18:59:58.12 Pinging www.google.com  
Sat 02/16/2019 18:59:59.17 Pinging www.google.com  
Sat 02/16/2019 19:00:00.21 Pinging www.google.com  
Sat 02/16/2019 19:00:01.26 Pinging www.google.com  
Sat 02/16/2019 19:00:02.30 Pinging www.google.com  
Sat 02/16/2019 19:00:03.35 Pinging www.google.com  
Sat 02/16/2019 19:00:04.39 Pinging www.google.com  
Sat 02/16/2019 19:00:05.44 Pinging www.google.com  
Sat 02/16/2019 19:00:06.48 Pinging www.google.com  
Sat 02/16/2019 19:00:07.52 Pinging www.google.com  
Sat 02/16/2019 19:00:08.56 Pinging www.google.com  
Sat 02/16/2019 19:00:09.66 Pinging www.google.com  
Sat 02/16/2019 19:00:10.70 Pinging www.google.com  
Sat 02/16/2019 19:00:11.79 Pinging www.google.com  
Sat 02/16/2019 19:00:12.83 Pinging www.google.com  
Sat 02/16/2019 19:00:13.93 Pinging www.google.com  
Sat 02/16/2019 19:00:14.97 Pinging www.google.com  
Sat 02/16/2019 19:00:16.02 Pinging www.google.com  
Sat 02/16/2019 19:00:17.06 Pinging www.google.com  
Sat 02/16/2019 19:00:18.11 Pinging www.google.com  
Sat 02/16/2019 19:00:19.15 Pinging www.google.com  
Sat 02/16/2019 19:00:20.20 Pinging www.google.com  
Sat 02/16/2019 19:00:21.24 Pinging www.google.com  
Sat 02/16/2019 19:00:22.31 Pinging www.google.com  
Sat 02/16/2019 19:00:23.35 Pinging www.google.com  
Sat 02/16/2019 19:00:24.41 Pinging www.google.com  
Sat 02/16/2019 19:00:25.45 Pinging www.google.com  
Sat 02/16/2019 19:00:26.49 Pinging www.google.com  
Sat 02/16/2019 19:00:27.54 Pinging www.google.com  
Sat 02/16/2019 19:00:28.59 Pinging www.google.com  
Sat 02/16/2019 19:00:29.66 Pinging www.google.com  
Sat 02/16/2019 19:00:30.71 Pinging www.google.com  
Sat 02/16/2019 19:00:31.81 Pinging www.google.com  
Sat 02/16/2019 19:00:32.86 Pinging www.google.com  
Sat 02/16/2019 19:00:33.96 Pinging www.google.com  
Sat 02/16/2019 19:00:35.00 Pinging www.google.com  
Sat 02/16/2019 19:00:36.04 Pinging www.google.com  
Sat 02/16/2019 19:00:37.09 Pinging www.google.com  
Sat 02/16/2019 19:00:38.16 Pinging www.google.com  
Sat 02/16/2019 19:00:39.20 Pinging www.google.com  
Sat 02/16/2019 19:00:40.28 Pinging www.google.com  
Sat 02/16/2019 19:00:41.32 Pinging www.google.com  
Sat 02/16/2019 19:00:42.37 Pinging www.google.com  
Sat 02/16/2019 19:00:43.41 Pinging www.google.com  
Sat 02/16/2019 19:00:44.46 Pinging www.google.com  
